aiui | como eu entendo isto
agr | agora
bbl | volto mais tarde
xau | tchau
imho | na minha humilde opinião
brb | volto logo
cya | até logo
t+ | até mais
eom | fim da mensagem
fyi | para sua informação
imo | na minha opinião
dp | depois
dpois | depois
lol | risada
naum | não
tb | também
thx | obrigado
tks | obrigado
p | para
p/ | para
vc | você
bj | beijo
bjs | beijos
c/ | com
love | amor
lov | amor
u | você
msg | mensagem
msm | mesmo
ñ | não
obg | obrigado
q | que
qq | qualquer
rotfl | rolando de rir
:-) | feliz
(-: | feliz
:) | feliz
(: | feliz
=) | feliz
(= | feliz
=] | feliz
[= | feliz
:-( | triste
)-: | triste
:( | triste
): | triste
=( | triste
)= | triste
=[ | triste
]= | triste
aki | aqui
akilo | aquilo
atam | então
axim | assim
axo | acho
axu | acho
bgd | obrigado
bjx | beijos
cmg, ctg | comigo, contigo
dixeste | disseste
dsc | desculpa
grd | grande
gstar | gostar
hj | hoje
idd | idade
jahtah | já está
k | que
kem | quem
kk | qualquer
lammer | otário
mm | mesmo
mor | amor
mto | muito
mt | muito
nd | nada
nda | nada
ng | ninguém
ngm | ninguém
perxebs | percebes
pk | porque
pq | porque
pqe | porque
pls | por favor
qd | quando
qdo | quando
res | responde
tds | todos
td | tudo
vz | vez
pera | espera
ta | está
